name,energy (kcal/kJ),water (g),protein (g),total fat (g),carbohydrates (g),fiber (g),sugars (g),calcium (mg),iron (mg),magnessium (mg),phosphorus (mg),potassium (mg),sodium (g),vitamin A (IU),vitamin C (mg),vitamin B1 (mg),vitamin B2 (mg),viatmin B3 (mg),vitamin B5 (mg),vitamin B6 (mg),vitamin E (mg)
Broccoli,22/92,92.55,3.17,0.49,2.85,2.7,0.38,108,2.14,22,73,196,33,2622,20.2,0.162,0.129,1.221,0.322,0.171,1.62
Brussels sprouts,43/179,86,3.39,0.3,8.95,3.8,2.2,42,1.4,23,69,389,25,754,85,0.139,0.09,0.745,0.309,0.219,0.88
cabbage,24/100,92.52,1.21,0.18,5.37,2.3,-,47,0.56,15,23,246,18,126,51,0.05,0.03,0.3,0.14,0.095,-
Red cabbage,31/130,90.39,1.44,0.16,7.37,2.1,3.83,45,0.8,16,30,243,27,1116,57,0.064,0.069,0.418,0.147,0.209,0.11
Celery,16/67,95.43,0.69,0.17,2.97,1.6,1.83,40,0.2,11,24,260,80,449,3.1,0.021,0.057,0.32,0.246,0.074,0.27
Romaine lettuce,17/72,94.61,1.23,0.3,3.29,2.1,1.19,33,0.97,14,30,247,8,8710,4,0.072,0.067,0.313,0.142,0.074,0.13
Iceberg lettuce,14/58,95.64,0.9,0.14,2.97,1.2,1.97,18,0.41,7,20,141,10,502,2.8,0.041,0.025,0.123,0.091,0.042,0.18
Spinach,23/97,91.4,2.86,0.39,3.63,2.2,0.42,99,2.71,79,49,558,79,9377,28.1,0.078,0.189,0.724,0.065,0.195,2.03
Cucumber,15/65,95.23,0.65,0.11,3.63,0.5,1.67,16,0.28,13,24,147,2,105,2.8,0.027,0.033,0.098,0.259,0.04,0.03
Eggplant,24/102,92.41,1.01,0.19,5.7,3.4,2.35,9,0.24,14,25,230,2,27,2.2,0.039,0.037,0.649,0.281,0.084,0.3
Pepper,20/84,93.89,0.86,0.17,4.64,1.7,2.4,10,0.34,10,20,175,3,370,80.4,0.057,0.028,0.48,0.099,0.224,0.37
Pumpkin,26/109,91.6,1,0.1,6.5,0.5,1.36,21,0.8,12,44,340,1,7384,9,0.05,0.11,0.6,0.298,0.061,1.06
Zucchini,17/70,94.79,1.21,0.32,3.11,1,2.5,16,0.37,18,38,261,8,200,17.9,0.045,0.094,0.451,0.204,0.163,0.12
Butternut squash,45/188,86.41,1,0.1,11.69,2,2.2,48,0.7,34,33,352,4,10630,21,0.1,0.02,1.2,0.4,0.154,1.44
Sweet corn,96/401,73.41,3.41,1.5,20.98,2.4,4.54,3,0.45,26,77,218,1,263,5.5,0.093,0.057,1.683,0.792,0.139,0.09
Tomatoes,18/74,94.52,0.88,0.2,3.89,1.2,2.63,10,0.27,11,24,237,5,833,13.7,0.037,0.019,0.594,0.089,0.08,0.54
Artichokes,53/220,84.08,2.89,0.34,11.95,8.6,0.99,21,0.61,42,73,286,60,13,7.4,0.05,0.089,1.11,0.24,0.081,0.19
Broccoli,34/141,89.3,2.82,0.37,6.64,2.6,1.7,47,0.73,21,66,316,33,623,89.2,0.071,0.117,0.639,0.573,0.175,0.78
Cauliflower,25/104,92.07,1.92,0.28,4.97,2,1.91,22,0.42,15,44,299,30,0,48.2,0.05,0.06,0.507,0.667,0.184,0.08
Broadbeans,100/460,71.54,7.6,0.4,19.65,5.4,1.82,36,1.5,43,125,268,5,15,0.3,0.097,0.089,0.711,0.157,0.072,0.02
Chickpeas,164/686,60.21,8.86,2.59,27.42,7.6,4.8,49,2.89,48,168,291,7,27,1.3,0.116,0.063,0.526,0.286,0.139,0.35
French beans,129/540,66.57,7.05,0.76,24.02,9.4,-,63,1.08,56,102,370,6,3,1.2,0.13,0.062,0.546,0.222,0.105,-
Kidney beans,127/532,66.94,8.67,0.5,22.8,6.4,0.32,35,2.22,42,138,405,1,0,1.2,0.16,0.058,0.578,0.22,0.12,0.03
Lentils,116/ 487,69.64,9.02,0.38,20.13,7.9,1.8,19,3.33,36,180,369,2,8,1.5,0.169,0.073,1.06,0.638,0.178,0.11
Navy beans,140/585,63.81,8.23,0.62,26.05,10.5,0.37,69,2.36,53,144,389,0,0,0.9,0.237,0.066,0.649,0.266,0.138,0.01
Okra,22/94,92.57,1.87,0.21,4.51,2.5,2.4,77,0.28,36,32,135,6,283,16.3,0.132,0.055,0.871,0.213,0.187,0.27
